danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,track_name
0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,audio_features,22dUzMFttcR3uU17NcOAIv,spotify:track:22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/tracks/22dUzMFttcR3uU17NcOAIv,https://api.spotify.com/v1/audio-analysis/22dUzMFttcR3uU17NcOAIv,179162,4,Calvin Harris,Desire (with Sam Smith)
0.667,0.702,0,-8.49,0,0.169,0.219,4.3e-05,0.147,0.479,148.978,audio_features,42Ztw2ZtZR3mtWjXpg0R5I,spotify:track:42Ztw2ZtZR3mtWjXpg0R5I,https://api.spotify.com/v1/tracks/42Ztw2ZtZR3mtWjXpg0R5I,https://api.spotify.com/v1/audio-analysis/42Ztw2ZtZR3mtWjXpg0R5I,135302,4,Yung Yury,TABU.
0.888,0.607,10,-5.632,0,0.165,0.147,0.0,0.111,0.728,103.136,audio_features,11eYmv0tA3wEoyD1Sad2Nv,spotify:track:11eYmv0tA3wEoyD1Sad2Nv,https://api.spotify.com/v1/tracks/11eYmv0tA3wEoyD1Sad2Nv,https://api.spotify.com/v1/audio-analysis/11eYmv0tA3wEoyD1Sad2Nv,134888,4,Nina Chuba,Mangos mit Chili
0.55,0.5,7,-5.779,0,0.045,0.285,0.0,0.116,0.351,115.016,audio_features,7oQepKHmXDaPC3rgeLRvQu,spotify:track:7oQepKHmXDaPC3rgeLRvQu,https://api.spotify.com/v1/tracks/7oQepKHmXDaPC3rgeLRvQu,https://api.spotify.com/v1/audio-analysis/7oQepKHmXDaPC3rgeLRvQu,167357,4,Udo Lindenberg,Komet
0.69,0.89,0,-4.866,0,0.0507,0.00903,1.61e-05,0.188,0.713,124.018,audio_features,2F2p7b5Xq20mRyEeWYaeUF,spotify:track:2F2p7b5Xq20mRyEeWYaeUF,https://api.spotify.com/v1/tracks/2F2p7b5Xq20mRyEeWYaeUF,https://api.spotify.com/v1/audio-analysis/2F2p7b5Xq20mRyEeWYaeUF,181478,4,Purple Disco Machine,Substitution (feat. Julian Perretta)
0.534,0.855,1,-4.923,0,0.183,0.0607,0.000263,0.346,0.42,122.06,audio_features,0zKbDrEXKpnExhGQRe9dxt,spotify:track:0zKbDrEXKpnExhGQRe9dxt,https://api.spotify.com/v1/tracks/0zKbDrEXKpnExhGQRe9dxt,https://api.spotify.com/v1/audio-analysis/0zKbDrEXKpnExhGQRe9dxt,153443,4,Tiësto,Lay Low
0.774,0.693,5,-4.221,1,0.0372,0.191,0.0,0.0843,0.591,125.91,audio_features,7aJgh6LCvhXJfD7PHjhG70,spotify:track:7aJgh6LCvhXJfD7PHjhG70,https://api.spotify.com/v1/tracks/7aJgh6LCvhXJfD7PHjhG70,https://api.spotify.com/v1/audio-analysis/7aJgh6LCvhXJfD7PHjhG70,137999,4,Michael Schulte,Waterfall
0.807,0.532,5,-8.484,0,0.275,0.633,1.86e-06,0.126,0.478,130.016,audio_features,17MW8YPQtJFfEUaPOoaVOm,spotify:track:17MW8YPQtJFfEUaPOoaVOm,https://api.spotify.com/v1/tracks/17MW8YPQtJFfEUaPOoaVOm,https://api.spotify.com/v1/audio-analysis/17MW8YPQtJFfEUaPOoaVOm,142840,4,Mark Forster,Wenn Du Mich Vergisst
0.451,0.632,4,-3.843,1,0.0475,0.6,0.0,0.139,0.455,147.06,audio_features,41WQUSINanQHfhfKpFDsms,spotify:track:41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/tracks/41WQUSINanQHfhfKpFDsms,https://api.spotify.com/v1/audio-analysis/41WQUSINanQHfhfKpFDsms,190461,4,Miley Cyrus,Used To Be Young
0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,1odExI7RdWc4BT515LTAwj,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4,David Kushner,Daylight
